Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
300308 CH Equity,ZHONGJI INNOLI-A,2.53B,71.16,25.87,94.75,44.16%,Information Technology,770.03B,1.41%,39.01%,6.55%,165.41%,77.89,657.14
300502 CH Equity,EOPTOLINK TECH-A,2.22B,64.68,33.53,143.54,69.59%,Information Technology,487.06B,1.55%,61.72%,9.55%,206.29%,41.54,469.65
300394 CH Equity,SUZHOU TFC OPT-A,1.84B,133.59,48.98,184.77,42.53%,Information Technology,269.69B,0.75%,40.39%,1.76%,49.56%,119.28,314.14
688256 CH Equity,CAMBRICON-A,1.55B,243.97,42.68,--,23.86%,Information Technology,505.18B,0.41%,22.85%,3.10%,47.10%,-3.94,607.81
700 HK Equity,TENCENT,1.50B,17.91,3.51,--,21.13%,Communication Services,4.64T,5.58%,12.94%,32.75%,21.01%,-21.95,61.65
300750 CH Equity,CONTEMPORARY A-A,1.46B,24.28,5.28,19.37,24.72%,Industrials,1.81T,4.12%,12.06%,60.07%,65.11%,2.1,205.28
300274 CH Equity,SUNGROW POWER -A,1.38B,19.05,5.51,18.08,32.24%,Industrials,256.66B,5.25%,17.76%,45.62%,-58.82%,-14.97,76.2
603986 CH Equity,GIGADEVICE SEM-A,1.35B,101.37,8.8,124.32,9.28%,Information Technology,177.44B,0.99%,8.46%,1.55%,57.34%,16.5,157.93
300476 CH Equity,VICTORY GIANT -A,1.30B,55.78,14.56,--,33.76%,Information Technology,242.59B,1.79%,20.56%,59.15%,169.86%,4.46,223.52
601138 CH Equity,FOXCONN INDUST-A,1.25B,31.02,6.55,--,22.09%,Information Technology,1.09T,3.22%,15.46%,65.93%,46.55%,-16.72,39.91
002475 CH Equity,LUXSHARE PRECI-A,1.13B,25.26,5,48.71,21.82%,Information Technology,401.38B,3.96%,6.20%,98.09%,43.28%,-9.1,27.88
000617 CH Equity,CNPC CAPITAL C-A,947.77M,30.53,1.25,--,4.16%,Financials,131.35B,3.28%,0.61%,436.92%,10.56%,-5.86,3.12
002384 CH Equity,SUZHOU DONGSHA-A,928.29M,188.51,11.34,1.57k,6.19%,Information Technology,241.59B,0.53%,3.55%,82.19%,-17.32%,92.08,120.28
001309 CH Equity,SHENZHEN TECHW-A,922.54M,134.12,28.21,--,23.94%,Information Technology,92.23B,0.75%,12.07%,175.30%,104.55%,105.56,366.33
002463 CH Equity,WUS PRINTED-A,837.22M,43.19,10.93,--,28.36%,Information Technology,165.19B,2.32%,20.43%,36.36%,29.92%,17.98,62.47
1810 HK Equity,XIAOMI CORP-W,823.76M,16.85,2.67,16.91,18.31%,Information Technology,813.30B,5.93%,14.77%,13.56%,-28.17%,-39.75,-12.09
002460 CH Equity,GANFENG LITHIU-A,817.19M,105.06,3.74,--,3.71%,Materials,163.34B,0.95%,1.16%,73.97%,39.18%,26.72,53.54
600522 CH Equity,ZHONGTIAN TECH-A,807.09M,37.38,2.93,31.94,8.02%,Industrials,107.17B,2.67%,5.18%,29.28%,11.43%,68.91,16.96
300548 CH Equity,EVERPROX TECHN-A,800.57M,201.13,34.41,123.26,18.02%,Information Technology,67.60B,0.50%,19.11%,18.05%,197.15%,128.88,191.35
600105 CH Equity,JIANGSU ETERN-A,797.19M,151.98,15.35,--,10.84%,Information Technology,50.64B,0.66%,-0.76%,104.29%,-59.23%,134.44,33.16
300620 CH Equity,ADVANCED FIBER-A,743.80M,325.97,26.53,560.29,8.63%,Information Technology,57.59B,0.31%,6.01%,43.73%,540.75%,115.29,195.92
883 HK Equity,CNOOC-H,743.44M,9.05,1.38,11.12,15.75%,Energy,1.32T,11.05%,14.23%,8.67%,-5.98%,41.36,12.24
